id_nodo,distrito,lat_mean,lon_mean,count
40,COMAS,-11.915682100034351,-77.02630880225533,2619
41,LA MOLINA,-12.083541654758752,-76.90157406352063,1334
42,YAUYOS,-12.230351476131048,-75.83031289606734,10
43,EL AGUSTINO,-12.05191654895267,-77.0034572178209,4308
44,PUENTE PIEDRA,-11.82209245657299,-77.09851325830063,1114
45,HUACHO,-11.311419786868836,-77.49519157230601,227
46,SAN MARTIN DE PORRES,-12.028553257853778,-77.06321021494931,2269
47,CANTA,-11.464126672527362,-76.79394533632059,29
48,SANTA EULALIA,-11.89513010970585,-76.65912795593171,76
49,SANTIAGO DE SURCO,-12.098011413965418,-76.96581046912851,2540
50,VILLA EL SALVADOR,-12.221114712150856,-76.93266815806969,2658
51,MATUCANA,-11.843595698118929,-76.38434208482478,148
52,CHACLACAYO,-11.973138073559975,-76.75503868008042,754
53,LOS OLIVOS,-11.947808367585221,-77.07223792445886,3198
54,SAN VICENTE DE CAÑETE,-13.266249107538762,-76.26776159123685,256
55,LINCE,-12.08662910874064,-77.02925527524867,4385
56,PUCUSANA,-12.48359120310705,-76.79127719589562,491
57,PARAMONGA,-10.382796778836607,-77.6796569179329,86
58,SANTIAGO DE SURCO,-12.151297665575733,-76.98565113024569,2655
59,ANCON,-11.779361093369946,-77.16783632106828,897
60,LIMA,-12.132091201488409,-76.76014039456885,101
61,SAN JUAN DE LURIGANCHO,-11.993625138495029,-77.00128453640649,2360
62,SUPE,-10.839471800685835,-77.62700190879072,108
63,LURIN,-12.278663203023228,-76.81473266422445,201
64,PUENTE PIEDRA,-11.898872267163732,-77.06938367530894,1145
65,BARRANCA,-10.735730666973073,-77.7699683197717,443
66,ASIA,-12.769208787513373,-76.52766332736618,210
67,SAN MARTIN DE PORRES,-11.99751254834439,-77.09403047743876,2754
68,SURQUILLO,-12.112638949764122,-77.01214418601803,2976
69,MIRAFLORES,-12.123597731962702,-77.02381500030552,5662
70,BARRANCA,-10.652258444047861,-77.64853554532293,149
71,ATE,-12.017449008958803,-76.87493461794656,2102
72,VILLA MARIA DEL TRIUNFO,-12.162747263794715,-76.95662150566807,2131
73,SAYAN,-11.149011470898891,-77.24463784343978,43
74,PACHACAMAC,-12.213214885103367,-76.87867843900618,497
75,EL AGUSTINO,-12.029255457880717,-76.99085308666713,3106
76,PUEBLO LIBRE,-12.075029723029585,-77.07134730412263,2776
77,PUENTE PIEDRA,-11.855838525480031,-77.06742580504675,1740
78,PACHANGARA,-10.85531669035418,-76.84416214550086,40
79,LOS OLIVOS,-11.97751311465448,-77.07714694775575,4491
80,VILLA MARIA DEL TRIUNFO,-12.160927741547157,-76.94130919228301,1558
81,HUARAL,-11.449011153093519,-77.24477011989256,73
82,CHILCA,-12.385430941755473,-76.49579614194556,33
83,SAN JUAN DE LURIGANCHO,-11.942332624403662,-77.0070359967943,2390
84,SAN ANTONIO,-11.735424317892312,-76.61052659585512,104
85,SAN VICENTE DE CAÑETE,-13.185877909916249,-76.23540669668688,361
86,CHILCA,-12.51171949199267,-76.74309049433985,545
87,INDEPENDENCIA,-11.96223352188833,-77.03821820081325,2874
88,LA MOLINA,-12.084136028837412,-76.92135211996059,1401
89,LIMA,-12.309524595254041,-76.79224861213446,551
90,SAN BORJA,-12.084657885780626,-77.00272323671636,2528
91,HUAROCHIRI,-12.125741193722806,-76.21502523527855,9
92,SUPE,-10.875656421845346,-77.5079768212441,161
93,YAUYOS,-12.612378381363937,-75.93433208602733,17
94,HUARAL,-11.199845067922347,-76.67459491715829,25
95,CERRO AZUL,-13.024805843948432,-76.470535548729,318
96,BARRANCA,-10.67558853724313,-77.8135543714294,1113
97,CARABAYLLO,-11.846716389083126,-76.99060157338292,1129
98,CHACLACAYO,-11.984704949076953,-76.80978476046275,943
99,HUANGASCAR,-12.91680360197475,-75.79882366502788,48
100,CHANCAY,-11.562055237310263,-77.26726959619164,274
101,SANTIAGO DE SURCO,-12.133533188403069,-76.98033220994382,2099
102,LA MOLINA,-12.07263631513271,-76.96126273432594,1896
103,VEGUETA,-10.958475999354809,-77.64645240161077,193
104,LURIN,-12.305384605198842,-76.83823247417953,638
105,LUNAHUANA,-12.968063896181842,-76.1428845540489,90
106,SAN JUAN DE LURIGANCHO,-11.965477884459895,-76.97207576759726,2144
107,CHORRILLOS,-12.216093268982581,-76.99998967433189,804
108,SAN ISIDRO,-12.09949819089212,-77.05575958612498,3249
109,CHORRILLOS,-12.17018539012606,-77.02356547648499,2323
110,VILLA EL SALVADOR,-12.223820443085645,-76.96269986689394,1013
111,BARRANCA,-10.845217953168142,-77.69217020656708,242
112,LOS OLIVOS,-11.935799165974185,-77.07722302382948,2254
